title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Aberfeldy Estate Final Decision Notice & S106,2jy0j,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2jy0j,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2024-06-06.
"Manor Road, Homebase Final Decision Notice S106 ",2r74w,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2r74w,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2024-05-30.
"Manor Road, Homebase Public Consultation Documents (October 2023) and Draft Decision Documents (December 2023)",2k5z3,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2k5z3,UNKNOWN,One off,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2024-03-05.
Olympic Legacy SPG,2w493,"The Olympic Legacy Opportunity Area (OA) covers an area with potential for 39,000 new homes and 65,000 new jobs by 2041. The OA was designated in the 2004...","The Olympic Legacy Opportunity Area (OA) covers an area with potential for 39,000 new homes and 65,000 new jobs by 2041. The OA was designated in the 2004 London Plan and is part of the Elizabeth Line East Growth Corridor. More information can be found on the OLSPG web page . The documents on this page were first published in 2012 and have not been tested for compliance with accessibility standards.",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2w493,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2024-02-21.
Southall OAPF,e56m0,"Southall is an Opportunity Area (OA) with potential for 9,000 new homes and 3,000 new jobs by 2041. The OA was designated in the 2011 London Plan and is...","Southall is an Opportunity Area (OA) with potential for 9,000 new homes and 3,000 new jobs by 2041. The OA was designated in the 2011 London Plan and is part of the Heathrow/Elizabeth Line West Growth Corridor. More information about this website can be found on the Southall OAPF web page . This document was first published in 2014 and has not been tested for compliance with accessibility standards.",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e56m0,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Other,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2024-02-21.
Local Plan status map,2gj7n,This map aims to help you find out more about the status of the local plans in London's planning authorities. For more information visit the Local Plans and...,This map aims to help you find out more about the status of the local plans in London's planning authorities. For more information visit the Local Plans and general conformity with the London Plan web page.,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2gj7n,Open Data Commons Attribution License — http://www.opendefinition.org/licenses/odc-by,Annual,UNKNOWN,UNKNOWN,UNKNOWN,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2024-02-15.
Aberfeldy Estate Hearing report and documents – January 2024,emx9m,"These documents relate to the representation hearing for planning application reference 2023/0300/S3 , the Aberfeldy Estate.","These documents relate to the representation hearing for planning application reference 2023/0300/S3 , the Aberfeldy Estate.",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/emx9m,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Point Location,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2024-01-25.
Aberfeldy Estate Consultation Documents 16 November - 16 December,206r9,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/206r9,UNKNOWN,One off,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2023-12-05.
PLD - Monthly planning statistics,2zjrk,Monthly stats on planning applications taken from the Planning London Datahub (PLD). PLD data is supplied by applicants and Planning Authorities. Due to the...,"Monthly stats on planning applications taken from the Planning London Datahub (PLD). PLD data is supplied by applicants and Planning Authorities. Due to the nature of how it is collected and assimilated, it is not checked for quality as it is received, and as such may require to be amended as data quality reviews are completed and specific analysis highlights deficiencies. Boroughs supply starts and completions data on an annual basis. This report contains multiple pages. The navigation controls are at the bottom of the report.",Real Estate,PLD - Borough Data Group,https://data.london.gov.uk/dataset/2zjrk,UNKNOWN,Realtime,UNKNOWN,UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2023-08-08.
Pope's Road Stage 3 documents,epq3y,"This page contains the documents for the Pope's Road public hearing. More details can be found on the Pope's Road public hearing web page ,","This page contains the documents for the Pope's Road public hearing. More details can be found on the Pope's Road public hearing web page ,",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/epq3y,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2023-07-17.
