title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
London Building Stock Model (LBSM),296oy,"The Mayor is committed to cutting fuel poverty and increasing the energy efficiency of buildings across London. To help target where action is most needed,...","The Mayor is committed to cutting fuel poverty and increasing the energy efficiency of buildings across London. To help target where action is most needed, the Mayor has developed a London Building Stock Model with the UCL Energy Institute . The London Building Stock Model is a database of all the energy and carbon data collected through the Mayor’s energy programmes and policies. It provides a snapshot of all London’s buildings (both domestic and non-domestic) with information on their energy performance certificates as of 2017. More information is available here , and an interactive map is available here . Most of the data from the London Building Stock Model interactive map has been made available through the data extracts below. Please note that the data extracts are based on Ordnance ",Environment,Greater London Authority (GLA),https://data.london.gov.uk/dataset/296oy,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"CSV, SPREADSHEET, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: environment, housing. Last updated: 2023-07-04."
London's Zero Carbon Pathways Tool,2r4xm,"London’s Zero Carbon Pathways Tool shows four ways that carbon emissions might be reduced to net zero by 2030. The Tool, developed by Element Energy,...","London’s Zero Carbon Pathways Tool shows four ways that carbon emissions might be reduced to net zero by 2030. The Tool, developed by Element Energy, accompanies the report “ Analysis of a Net Zero 2030 Target for Greater London ” also written by Element Energy. This report should be read in conjunction with the tool for an explanation of the assumptions behind the four pathways. In the Tool, energy and carbon results are presented by sector, as well as some sector specific results such as vehicle kilometres for transport and supply by fuel type for district heat. Modelling has been done on a pan-London basis, so borough level results are an estimate only. This Zero Carbon Pathways Tool is an update of an earlier tool published in 2018, which showed pathways to net zero emissions by 2050. ",Environment,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2r4xm,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,SPREADSHEET,UNKNOWN,2015-01 to 2050-12,Middle Super Output Area,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: environment, planning, transport. Last updated: 2023-05-10."
LAEI 2019 - Borough Air Quality Data for LLAQM,2zjgq,"Following the release of the latest London Atmospheric Emissions Inventory (LAEI) 2019 , additional data has been produced at Borough level, to assist...","Following the release of the latest London Atmospheric Emissions Inventory (LAEI) 2019 , additional data has been produced at Borough level, to assist London boroughs with their LLAQM (London Local Air Quality Management) duties. The data below is based on the NO x , NO 2 , PM 10 and PM 2.5 emissions and ground level NO x , NO 2 and PM concentrations already published as part of the LAEI 2019. It includes the following datasets, which can be downloaded below: Maps of ground level concentrations across each borough for NO x , NO 2 , PM 2.5 (annual mean), and PM 10 (both annual mean and number of daily means over 50µg/m 3 ) for years 2019, 2025 and 2030. Maps are provided as JPG and PDF files, and in two versions: one with an OS base map included (Conc2) and one without it (Conc1). Dashboard",Environment,GLA and TFL Air Quality,https://data.london.gov.uk/dataset/2zjgq,UNKNOWN,Unknown,ZIP,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: environment, health, transport. Last updated: 2023-04-25."
Air Quality Monitoring Sites,23n41,Location of monitoring stations from- London Air Quality Network (https://www.londonair.org.uk/LondonAir/General/about.aspx)- AQE...,"Location of monitoring stations from- London Air Quality Network (https://www.londonair.org.uk/LondonAir/General/about.aspx)- AQE (https://www.airqualityengland.co.uk/)- Breathe London (These monitors are part of a new study in London called 'Breathe London'that is testing out lower cost monitors across the city, for more information on the Breathe London project please see here-https://www.breathelondon.org/)A range of pollutants are typically monitored including NOx, particulates, CO2 and SO2, but vary from site to site.",Environment,Greater London Authority (GLA),https://data.london.gov.uk/dataset/23n41,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Annual,"GEOPACKAGE, HTML",UNKNOWN,UNKNOWN,Coordinates,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"LAEI, AQ, Kings, C40, MapLondon, airqualitymap",snowflake,Medium,"Topics: environment, health. Last updated: 2023-02-09."
"Electricity Consumption, Borough",24rnx,Electricity consumption by sector. Data for Middle Super Output Areas (MSOA) also available. Department for Environment and Climate Change are carrying out...,Electricity consumption by sector. Data for Middle Super Output Areas (MSOA) also available. Department for Environment and Climate Change are carrying out further analysis of the consistency between the 2008 sub-national data and the 2008 data published at UK level in the Digest of UK energy statistics; at this stage we recommend that users consider that these data are provisional. Read DECCs quarterly publication 'Energy Trends' for further information. Data on DECC website,Environment,"Department for Business, Energy & Industrial Strategy (BEIS)",https://data.london.gov.uk/dataset/24rnx,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2003-01 to 2021-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"consumption, energy, electricity, resources",snowflake,Medium,Topics: environment. Last updated: 2023-02-07.
London-wide Ultra Low Emission Zone Expansion 2023,296nj,"To help clear London's air and improve public health, the Ultra Low Emission Zone (ULEZ) is expanding across all London boroughs from 29 August 2023. The...","To help clear London's air and improve public health, the Ultra Low Emission Zone (ULEZ) is expanding across all London boroughs from 29 August 2023. The current ULEZ covers inner London up to (but not including) the North and South Circular Roads. The new boundary will be the same as the existing London-wide Low Emission Zone. For more information on the ULEZ expansion please visit: ﻿ https://tfl.gov.uk/modes/driving/ultra-low-emission-zone/ulez-expansion-2023",Environment,GLA and TFL Air Quality,https://data.london.gov.uk/dataset/296nj,UNKNOWN,One off,ZIP,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"ULEZ, Transportation, Air Quality",snowflake,Medium,"Topics: environment, transport. Last updated: 2023-01-17."
London Borough of Tower Hamlets Waste Strategy,vd43m,"Please note document ""6.5 LBTH Landlord Data v2.0.xlsx"" has not been uploaded to this datastore page. Contact Planning.ICS@london.gov.uk to request access.","Please note document ""6.5 LBTH Landlord Data v2.0.xlsx"" has not been uploaded to this datastore page. Contact Planning.ICS@london.gov.uk to request access.",Environment,GLA Infrastructure Coordination Service,https://data.london.gov.uk/dataset/vd43m,Other (Open),One off,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"waste, strategy, tower hamlets",snowflake,Medium,"Topics: environment, planning. Last updated: 2022-12-16."
Inequalities and Environmental Action,emxyp,"This report and dataset were commissioned by the Greater London Authority, and produced by Centric Lab to uncover the work of community groups that connect...","This report and dataset were commissioned by the Greater London Authority, and produced by Centric Lab to uncover the work of community groups that connect with environmental issues in Hackney, Newham, Tower Hamlets and Waltham Forest. These four boroughs were selected as they have some of the highest representation of multi-ethnic low income communities who were greatly affected by the coronavirus pandemic. Many reports highlighted the role of environmental pollutants and structural deprivation as a determinant of Covid-19 infection and impact. As evidenced in this report communities demonstrate numerous and diverse capabilities in tackling the structural challenges of modern day London. This report highlights the different community groups committed to improving the lives of their famili",Environment,Greater London Authority (GLA),https://data.london.gov.uk/dataset/emxyp,UNKNOWN,One off,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: environment, health, income-poverty-welfare. Last updated: 2022-07-28."
Housing Zones,24yxz,Housing zones are areas funded by the Mayor and government to attract developers and relevant partners to build new homes. The GIS files show the indicative...,"Housing zones are areas funded by the Mayor and government to attract developers and relevant partners to build new homes. The GIS files show the indicative boundaries, please contact the relevant London Borough to confirm accuracy. NOTE: The boundaries are based on Ordnance Survey mapping and the data is published under Ordnance Survey's 'presumption to publish'.Contains OS data © Crown copyright and database rights 2019. Greater London Authority - Contains public sector information licensed under the Open Government Licence v3.0",Environment,Planning Constraints Map,https://data.london.gov.uk/dataset/24yxz,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"GEOPACKAGE, HTML",UNKNOWN,UNKNOWN,Custom Polygons,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"planningconstraintsmap, MapLondon",snowflake,Medium,"Topics: environment, housing, planning. Last updated: 2022-07-12."
Safeguarded Wharves,2g90r,Safeguarded Wharves are wharves that are given protected status as working wharves to help the Thames maintain its cargo-handling function. It is not...,"Safeguarded Wharves are wharves that are given protected status as working wharves to help the Thames maintain its cargo-handling function. It is not allowed to use safeguarded wharves for non-port activities and all planning applications affecting the wharves must be referred to the Mayor. The GIS files show the indicative boundaries, please contact the relevant London Borough to confirm accuracy. NOTE: The boundaries are based on Ordnance Survey mapping and the data is published under Ordnance Survey's 'presumption to publish'.Contains OS data © Crown copyright and database rights 2019. Greater London Authority - Contains public sector information licensed under the Open Government Licence v3.0",Environment,Planning Constraints Map,https://data.london.gov.uk/dataset/2g90r,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"GEOPACKAGE, HTML",UNKNOWN,UNKNOWN,Custom Polygons,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"planningconstraintsmap, MapLondon",snowflake,Medium,"Topics: environment, housing, planning. Last updated: 2022-07-12."
